timestamp,event_type,value
2.3527207374572754,key_press,'x'
2.4734556674957275,key_press,'x'
2.6770362854003906,key_press,Key.space
3.288547992706299,key_press,'x'
3.4698967933654785,key_press,Key.space
3.5807597637176514,key_press,'x'
3.6712844371795654,key_press,'x'
3.8352391719818115,key_press,Key.space
3.9982540607452393,key_press,'x'
4.126586198806763,key_press,'x'
4.298979759216309,key_press,'x'
4.41923451423645,key_press,'x'
4.499179363250732,key_press,'x'
4.594165086746216,key_press,'x'
4.690662622451782,key_press,'x'
4.865875720977783,key_press,Key.space
5.010524749755859,key_press,'x'
5.17833399772644,key_press,'x'
5.697150945663452,key_press,'x'
5.984903812408447,key_press,'x'
6.240140676498413,key_press,'x'
6.352303504943848,key_press,Key.space
7.134684324264526,key_press,'x'
7.2628796100616455,key_press,Key.space
7.3744611740112305,key_press,'x'
7.485520839691162,key_press,'x'
7.62981390953064,key_press,Key.space
7.983067274093628,key_press,'x'
8.18129277229309,key_press,Key.space
13.07668161392212,key_press,'x'
13.21998405456543,key_press,'x'
13.300183057785034,key_press,'x'
13.41415023803711,key_press,'x'
13.65074634552002,key_press,Key.space
15.073318481445312,key_press,'x'
15.13618278503418,key_press,'x'
15.313292980194092,key_press,Key.space
17.05391573905945,key_press,'x'
17.149266481399536,key_press,'x'
17.261985540390015,key_press,'x'
17.485886096954346,key_press,'x'
17.66040277481079,key_press,'x'
17.77220129966736,key_press,'x'
17.96493124961853,key_press,'x'
18.060410261154175,key_press,Key.space
18.84303307533264,key_press,Key.backspace
18.99020743370056,key_press,Key.backspace
19.695667028427124,key_press,Key.backspace
19.83326292037964,key_press,Key.backspace
19.980661153793335,key_press,Key.backspace
20.255998849868774,key_press,'x'
20.456782341003418,key_press,'x'
21.01559567451477,key_press,Key.backspace
21.257596731185913,key_press,'x'
21.382713556289673,key_press,'x'
21.590123653411865,key_press,'x'
22.10145401954651,key_press,'x'
22.258699655532837,key_press,'x'
22.420483589172363,key_press,'x'
22.564695119857788,key_press,'x'
22.740402936935425,key_press,Key.space
24.01855731010437,key_press,'x'
24.114112854003906,key_press,'x'
24.177613258361816,key_press,'x'
24.32245945930481,key_press,Key.space
24.769208431243896,key_press,'x'
24.928653478622437,key_press,'x'
25.07596731185913,key_press,'x'
25.19923973083496,key_press,'x'
25.263452529907227,key_press,Key.space
26.432847023010254,key_press,'x'
26.573885679244995,key_press,'x'
26.925474405288696,key_press,'x'
27.228506565093994,key_press,'x'
27.373781442642212,key_press,'x'
27.54834270477295,key_press,Key.space
27.915491819381714,key_press,'x'
27.995718955993652,key_press,'x'
28.074827432632446,key_press,'x'
28.174790620803833,key_press,Key.space
28.538668155670166,key_press,'x'
28.67608094215393,key_press,'x'
28.810287952423096,key_press,'x'
28.937960863113403,key_press,'x'
29.033904314041138,key_press,Key.space
30.631614208221436,key_press,'x'
30.790993452072144,key_press,Key.space
30.953360319137573,key_press,'x'
31.02998375892639,key_press,'x'
31.158345699310303,key_press,'x'
31.28101921081543,key_press,'x'
31.382298469543457,key_press,Key.space
32.03774547576904,key_press,'x'
32.198410749435425,key_press,'x'
32.53170418739319,key_press,'x'
33.04262161254883,key_press,Key.backspace
33.266247034072876,key_press,Key.backspace
33.87369394302368,key_press,'x'
34.04887890815735,key_press,'x'
34.241077184677124,key_press,Key.space
34.387280225753784,key_press,'x'
34.704004526138306,key_press,'x'
34.8956139087677,key_press,Key.space
35.07078814506531,key_press,'x'
35.16752886772156,key_press,'x'
35.43933343887329,key_press,'x'
35.79241871833801,key_press,'x'
36.396968126297,mouse_move,"""1285,926"""
36.417776107788086,mouse_move,"""1286,927"""
36.431947469711304,mouse_move,"""1286,936"""
36.4345920085907,mouse_move,"""1286,951"""
36.445849657058716,mouse_move,"""1284,972"""
36.45080542564392,mouse_move,"""1281,997"""
36.46084642410278,mouse_move,"""1279,1022"""
36.46640658378601,mouse_move,"""1278,1037"""
36.46640658378601,mouse_move,"""1277,1046"""
36.482473373413086,mouse_move,"""1276,1051"""
36.482473373413086,mouse_move,"""1276,1055"""
36.49282479286194,mouse_move,"""1276,1054"""
36.51092743873596,mouse_move,"""1281,1045"""
36.51491641998291,mouse_move,"""1289,1027"""
36.525124073028564,mouse_move,"""1306,988"""
36.53027105331421,mouse_move,"""1326,946"""
36.53027105331421,mouse_move,"""1346,906"""
36.54632329940796,mouse_move,"""1356,881"""
36.54632329940796,mouse_move,"""1365,865"""
36.56089520454407,mouse_move,"""1370,856"""
36.5618999004364,mouse_move,"""1373,852"""
36.57470345497131,mouse_move,"""1374,851"""
36.581241607666016,mouse_move,"""1374,853"""
36.58944630622864,mouse_move,"""1374,862"""
36.59520244598389,mouse_move,"""1372,885"""
36.60310196876526,mouse_move,"""1368,931"""
36.61101675033569,mouse_move,"""1361,983"""
36.61825132369995,mouse_move,"""1354,1045"""
36.625123023986816,mouse_move,"""1344,1108"""
36.63235116004944,mouse_move,"""1339,1170"""
36.639559268951416,mouse_move,"""1335,1222"""
36.64328074455261,mouse_move,"""1331,1238"""
36.65005278587341,mouse_move,"""1328,1221"""
36.655247926712036,mouse_move,"""1326,1214"""
