timestamp,event_type,value
3.285801410675049,key_press,Key.space
3.953481674194336,key_press,'i'
4.115375995635986,key_press,Key.space
4.392489194869995,key_press,'a'
4.562971591949463,key_press,'m'
4.748509407043457,key_press,Key.space
5.841798305511475,key_press,'a'
6.164901256561279,key_press,'b'
6.379078149795532,key_press,'h'
6.553826093673706,key_press,'i'
6.748308420181274,key_press,'r'
6.89492392539978,key_press,'a'
7.1043994426727295,key_press,'m'
7.3628034591674805,key_press,Key.space
7.902295351028442,key_press,'h'
8.072926044464111,key_press,'i'
8.364362001419067,key_press,Key.space
8.841915845870972,key_press,'e'
9.017984628677368,key_press,'v'
9.21656060218811,key_press,'e'
9.40150785446167,key_press,'r'
9.758798122406006,key_press,'y'
10.0197012424469,key_press,'o'
10.233834505081177,key_press,'n'
10.395625591278076,key_press,'e'
10.56817364692688,key_press,Key.space
12.647123575210571,key_press,'i'
12.924845695495605,key_press,Key.space
13.472589254379272,key_press,'c'
13.49408221244812,key_press,'a'
13.81713080406189,key_press,'m'
14.069983720779419,key_press,Key.space
14.713692903518677,key_press,'h'
14.950836420059204,key_press,'e'
15.066151142120361,key_press,'r'
15.290010213851929,key_press,'e'
15.48513126373291,key_press,Key.space
16.15077543258667,key_press,'m'
16.481791496276855,key_press,'e'
16.645272731781006,key_press,'e'
16.96092176437378,key_press,'t'
17.181781768798828,key_press,Key.space
17.506997108459473,key_press,'y'
17.68568754196167,key_press,'o'
17.930633306503296,key_press,'u'
18.14069652557373,key_press,Key.space
18.306971311569214,key_press,'a'
18.48267889022827,key_press,'l'
18.632885217666626,key_press,'l'
18.866838216781616,key_press,Key.space
19.07366943359375,key_press,'i'
19.222357511520386,key_press,'n'
19.435526371002197,key_press,Key.space
19.61282753944397,key_press,'a'
19.774356365203857,key_press,Key.space
21.613344192504883,key_press,'w'
21.84165596961975,key_press,'o'
22.112194776535034,key_press,'n'
22.38639807701111,key_press,'d'
22.59423065185547,key_press,'e'
22.72512650489807,key_press,'r'
23.105810165405273,key_press,'f'
23.961999893188477,key_press,'u'
24.2658371925354,key_press,'l'
24.52438497543335,key_press,Key.space
24.732544422149658,key_press,'e'
24.987743616104126,key_press,'v'
25.14919090270996,key_press,'e'
25.343496322631836,key_press,'f'
25.827467441558838,key_press,'i'
26.021605730056763,key_press,'n'
26.178406238555908,key_press,'g'
26.29948663711548,key_press,Key.space
26.537416458129883,key_press,'i'
26.702566146850586,key_press,'n'
