0,1,2,cognitive_load
timestamp,event_type,value,low
3.2554285526275635,key_press,Key.backspace,low
3.298231840133667,key_press,Key.backspace,low
3.316521644592285,key_press,Key.backspace,low
3.3486335277557373,key_press,Key.backspace,low
3.3802742958068848,key_press,Key.backspace,low
3.4098894596099854,key_press,Key.backspace,low
3.4420013427734375,key_press,Key.backspace,low
3.473491668701172,key_press,Key.backspace,low
3.511594295501709,key_press,Key.backspace,low
3.537393569946289,key_press,Key.backspace,low
3.567201852798462,key_press,Key.backspace,low
3.5988049507141113,key_press,Key.backspace,low
3.6322593688964844,key_press,Key.backspace,low
3.662407159805298,key_press,Key.backspace,low
3.6914613246917725,key_press,Key.backspace,low
3.858147144317627,key_press,Key.backspace,low
4.349899530410767,key_press,Key.backspace,low
4.389978647232056,key_press,Key.backspace,low
4.410236358642578,key_press,Key.backspace,low
5.770841360092163,key_press,'t',low
5.893769979476929,key_press,'h',low
5.989135026931763,key_press,'i',low
6.041942119598389,key_press,'s',low
6.223599910736084,key_press,Key.space,low
6.399609565734863,key_press,'i',low
6.580219507217407,key_press,'s',low
6.7226433753967285,key_press,Key.space,low
7.072718620300293,key_press,'a',low
7.222996950149536,key_press,Key.space,low
7.910503387451172,key_press,'s',low
8.085172891616821,key_press,'i',low
8.254658937454224,key_press,'m',low
8.428305387496948,key_press,'p',low
8.451370477676392,key_press,'p',low
8.592024564743042,key_press,'l',low
8.76381778717041,key_press,'e',low
8.91137957572937,key_press,Key.space,low
9.476091384887695,key_press,'p',low
9.596385478973389,key_press,'a',low
9.928232669830322,key_press,'r',low
10.002052068710327,key_press,'a',low
10.262256860733032,key_press,'p',low
10.728891611099243,key_press,Key.backspace,low
11.026033878326416,key_press,'g',low
11.166840314865112,key_press,'r',low
11.283250093460083,key_press,'a',low
11.472070455551147,key_press,'p',low
11.744803190231323,key_press,'h',low
12.009845733642578,key_press,Key.space,low
12.658975601196289,key_press,'t',low
12.722931623458862,key_press,'h',low
12.811890363693237,key_press,'a',low
13.035647630691528,key_press,Key.space,low
13.254785060882568,key_press,'i',low
13.505704879760742,key_press,Key.space,low
13.614503383636475,key_press,'a',low
13.741674423217773,key_press,'m',low
13.894644975662231,key_press,Key.space,low
14.348081350326538,key_press,'t',low
14.534781455993652,key_press,'y',low
14.724945068359375,key_press,'p',low
14.895724773406982,key_press,'i',low
15.150582551956177,key_press,'n',low
